args Namespace(arch='vgg19_bn', batch_size=128, closeset_ratio=0.2, conf_ema_range=[0.8, 0.9], cosine=True, dataset='Animal10N', epochs=150, epsilon=0.53, exp_dir='experiment/Animal10N-sota/Animal10N_2023-08-08-21-02-27ds_Animal10N_lr_0.02_ep_150_ps_1_lw_0.8_warmupepochs_12_rechange_per_epoch_30', forget_rate=0.2, gpu=0, loss_weight1=0.8, loss_weight2=1.5, low_dim=512, lr=0.02, lr_decay_epochs='100,150,180', lr_decay_rate=0.1, moco_m=0.999, moco_queue=8192, momentum=0.99, n_classes=196, noise_type='symmetric', print_freq=100, prot_start=1, proto_m=0.998, rechange_per_epoch=30, resume='', seed=100, synthetic_data=None, topk=5, warmupepochs=12, weight_decay=0.0005, workers=32)

Epoch 0: TrainACC 28.397937774658203, Acc 39.916133880615234, Best Acc 0. (lr 0.02, MMC 1.0)
Epoch 1: TrainACC 40.071929931640625, Acc 42.991214752197266, Best Acc 39.916133880615234. (lr 0.019997809027913708, MMC 1.0)
Epoch 2: TrainACC 44.092071533203125, Acc 48.44248962402344, Best Acc 42.991214752197266. (lr 0.019991237072687594, MMC 1.0)
Epoch 3: TrainACC 47.85006332397461, Acc 50.09983825683594, Best Acc 48.44248962402344. (lr 0.019980287016998433, MMC 1.0)
Epoch 4: TrainACC 49.25431442260742, Acc 49.301116943359375, Best Acc 50.09983825683594. (lr 0.01996496366390255, MMC 1.0)
Epoch 5: TrainACC 51.49816131591797, Acc 55.43130874633789, Best Acc 50.09983825683594. (lr 0.01994527373472905, MMC 1.0)
Epoch 6: TrainACC 53.978179931640625, Acc 59.16533279418945, Best Acc 55.43130874633789. (lr 0.019921225866131636, MMC 1.0)
Epoch 7: TrainACC 56.73833084106445, Acc 57.987220764160156, Best Acc 59.16533279418945. (lr 0.019892830606300253, MMC 1.0)
Epoch 8: TrainACC 58.2404899597168, Acc 56.25, Best Acc 59.16533279418945. (lr 0.019860100410334345, MMC 1.0)
Epoch 9: TrainACC 58.80874252319336, Acc 60.62300109863281, Best Acc 59.16533279418945. (lr 0.019823049634779603, MMC 1.0)
Epoch 10: TrainACC 61.056983947753906, Acc 65.29552459716797, Best Acc 60.62300109863281. (lr 0.019781694531330718, MMC 1.0)
Epoch 11: TrainACC 61.32113265991211, Acc 62.14057540893555, Best Acc 65.29552459716797. (lr 0.019736053239702872, MMC 0.8358526229858398)
    ----------  warmup end  -----------    
Epoch 12: TrainACC tensor([52.67], device='cuda:0'), Acc 54.033546447753906, Best Acc 65.29552459716797. (lr 0.019686145779675025, MMC 0.8362687230110168)
Epoch 13: TrainACC tensor([56.37], device='cuda:0'), Acc 61.741214752197266, Best Acc 65.29552459716797. (lr 0.019631994042308604, MMC 0.839154064655304)
Epoch 14: TrainACC tensor([60.37], device='cuda:0'), Acc 64.1573486328125, Best Acc 65.29552459716797. (lr 0.01957362178034535, MMC 0.8471043705940247)
Epoch 15: TrainACC tensor([62.24], device='cuda:0'), Acc 63.55830383300781, Best Acc 65.29552459716797. (lr 0.019511054597788586, MMC 0.8543338179588318)
Epoch 16: TrainACC tensor([63.44], device='cuda:0'), Acc 66.95287322998047, Best Acc 65.29552459716797. (lr 0.019444319938672436, MMC 0.8609390258789062)
Epoch 17: TrainACC tensor([64.27], device='cuda:0'), Acc 62.65974426269531, Best Acc 66.95287322998047. (lr 0.019373447075023996, MMC 0.8661996722221375)
Epoch 18: TrainACC tensor([63.61], device='cuda:0'), Acc 66.41373443603516, Best Acc 66.95287322998047. (lr 0.019298467094023632, MMC 0.8699844479560852)
Epoch 19: TrainACC tensor([64.99], device='cuda:0'), Acc 66.99281311035156, Best Acc 66.95287322998047. (lr 0.01921941288436912, MMC 0.8735912442207336)
Epoch 20: TrainACC tensor([65.03], device='cuda:0'), Acc 68.17092895507812, Best Acc 66.99281311035156. (lr 0.01913631912184958, MMC 0.8762494921684265)
Epoch 21: TrainACC tensor([64.73], device='cuda:0'), Acc 70.04792022705078, Best Acc 68.17092895507812. (lr 0.019049222254135537, MMC 0.8783332705497742)
Epoch 22: TrainACC tensor([65.55], device='cuda:0'), Acc 67.93130493164062, Best Acc 70.04792022705078. (lr 0.018958160484791736, MMC 0.8800920248031616)
Epoch 23: TrainACC tensor([66.70], device='cuda:0'), Acc 68.84983825683594, Best Acc 70.04792022705078. (lr 0.018863173756519833, MMC 0.8819572925567627)
Epoch 24: TrainACC tensor([66.01], device='cuda:0'), Acc 68.31069946289062, Best Acc 70.04792022705078. (lr 0.018764303733638195, MMC 0.8832359313964844)
Epoch 25: TrainACC tensor([66.03], device='cuda:0'), Acc 68.21086120605469, Best Acc 70.04792022705078. (lr 0.01866159378380654, MMC 0.8843803405761719)
Epoch 26: TrainACC tensor([66.38], device='cuda:0'), Acc 69.74839782714844, Best Acc 70.04792022705078. (lr 0.01855508895900346, MMC 0.8853945732116699)
Epoch 27: TrainACC tensor([65.71], device='cuda:0'), Acc 65.71485137939453, Best Acc 70.04792022705078. (lr 0.01844483597576513, MMC 0.8859036564826965)
Epoch 28: TrainACC tensor([66.57], device='cuda:0'), Acc 67.95127868652344, Best Acc 70.04792022705078. (lr 0.018330883194693892, MMC 0.88670414686203)
Epoch 29: TrainACC tensor([66.88], device='cuda:0'), Acc 68.84983825683594, Best Acc 70.04792022705078. (lr 0.018213280599245704, MMC 0.8872892260551453)
Epoch 30: TrainACC tensor([66.60], device='cuda:0'), Acc 67.97124481201172, Best Acc 70.04792022705078. (lr 0.018092079773805725, MMC 0.8878841996192932)
Epoch 31: TrainACC tensor([67.34], device='cuda:0'), Acc 71.24600219726562, Best Acc 70.04792022705078. (lr 0.017967333881061722, MMC 0.8882752656936646)
Epoch 32: TrainACC tensor([66.85], device='cuda:0'), Acc 69.92811584472656, Best Acc 71.24600219726562. (lr 0.01783909763868514, MMC 0.8885500431060791)
