args Namespace(arch='resnet50', batch_size=32, closeset_ratio=0.2, conf_ema_range=[0.4, 0.4], cosine=True, dataset='food101n', epochs=200, epsilon=0.6, exp_dir='experiment/Food101N-sota/Food101N2023-12-12-14-41-57ds_food101n_lr_0.01_ep_200_ps_1_lw_0.4_warmupepochs_10_rechange_per_epoch_30', forget_rate=0.2, gpu=0, loss_weight1=0.4, loss_weight2=1.0, low_dim=512, lr=0.01, lr_decay_epochs='100,150,180', lr_decay_rate=0.1, moco_m=0.999, moco_queue=4096, momentum=0.9, n_classes=101, noise_type='symmetric', print_freq=100, prot_start=1, proto_m=0.99, rechange_per_epoch=30, resume='', seed=100, synthetic_data=None, topk=25, warmupepochs=10, warmuplr=0.01, weight_decay=0.0005, workers=32)

Epoch 0: TrainACC 51.396820068359375, Acc 66.26425170898438, Best Acc 0. (lr 0.01, MMC 1.0)
Epoch 1: TrainACC 54.276153564453125, Acc 67.17463684082031, Best Acc 66.26425170898438. (lr 0.009999383779245894, MMC 1.0)
Epoch 2: TrainACC 53.37736129760742, Acc 64.5384750366211, Best Acc 67.17463684082031. (lr 0.009997535269026829, MMC 1.0)
Epoch 3: TrainACC 53.04981994628906, Acc 65.33406829833984, Best Acc 67.17463684082031. (lr 0.009994454925435041, MMC 1.0)
Epoch 4: TrainACC 52.78117370605469, Acc 65.9396743774414, Best Acc 67.17463684082031. (lr 0.009990143508499217, MMC 1.0)
Epoch 5: TrainACC 52.920108795166016, Acc 65.78530883789062, Best Acc 67.17463684082031. (lr 0.009984602081996976, MMC 1.0)
Epoch 6: TrainACC 53.0726318359375, Acc 63.845787048339844, Best Acc 67.17463684082031. (lr 0.009977832013192385, MMC 1.0)
Epoch 7: TrainACC 53.19165802001953, Acc 64.80763244628906, Best Acc 67.17463684082031. (lr 0.009969834972498624, MMC 1.0)
Epoch 8: TrainACC 53.383995056152344, Acc 66.14154815673828, Best Acc 67.17463684082031. (lr 0.009960612933065818, MMC 1.0)
Epoch 9: TrainACC 53.44035339355469, Acc 63.228309631347656, Best Acc 67.17463684082031. (lr 0.009950168170294205, MMC 0.7898784875869751)
    ----------  warmup end  -----------    
Epoch 10: TrainACC tensor([46.85], device='cuda:0'), Acc 61.53419876098633, Best Acc 67.17463684082031. (lr 0.009938503261272713, MMC 0.8158713579177856)
Epoch 11: TrainACC tensor([54.24], device='cuda:0'), Acc 65.79718017578125, Best Acc 67.17463684082031. (lr 0.009925621084143096, MMC 0.8304940462112427)
Epoch 12: TrainACC tensor([55.61], device='cuda:0'), Acc 66.44236755371094, Best Acc 67.17463684082031. (lr 0.009911524817389801, MMC 0.838142991065979)
Epoch 13: TrainACC tensor([56.35], device='cuda:0'), Acc 68.2275161743164, Best Acc 67.17463684082031. (lr 0.009896217939055721, MMC 0.8421239256858826)
Epoch 14: TrainACC tensor([56.58], device='cuda:0'), Acc 68.76583099365234, Best Acc 68.2275161743164. (lr 0.009879704225884044, MMC 0.8443110585212708)
Epoch 15: TrainACC tensor([57.04], device='cuda:0'), Acc 65.11637115478516, Best Acc 68.76583099365234. (lr 0.009861987752386395, MMC 0.8458091020584106)
Epoch 16: TrainACC tensor([57.17], device='cuda:0'), Acc 70.29765319824219, Best Acc 68.76583099365234. (lr 0.009843072889837512, MMC 0.8468477725982666)
Epoch 17: TrainACC tensor([57.29], device='cuda:0'), Acc 69.3714370727539, Best Acc 70.29765319824219. (lr 0.009822964305196701, MMC 0.847476601600647)
Epoch 18: TrainACC tensor([57.34], device='cuda:0'), Acc 69.69205474853516, Best Acc 70.29765319824219. (lr 0.00980166695995633, MMC 0.8481022119522095)
Epoch 19: TrainACC tensor([57.67], device='cuda:0'), Acc 70.67764282226562, Best Acc 70.29765319824219. (lr 0.009779186108917658, MMC 0.8482993841171265)
Epoch 20: TrainACC tensor([57.64], device='cuda:0'), Acc 70.63410186767578, Best Acc 70.67764282226562. (lr 0.009755527298894293, MMC 0.8487211465835571)
Epoch 21: TrainACC tensor([57.84], device='cuda:0'), Acc 67.83169555664062, Best Acc 70.67764282226562. (lr 0.009730696367343588, MMC 0.8490538001060486)
Epoch 22: TrainACC tensor([57.88], device='cuda:0'), Acc 70.01266479492188, Best Acc 70.67764282226562. (lr 0.009704699440926357, MMC 0.8491032719612122)
Epoch 23: TrainACC tensor([57.89], device='cuda:0'), Acc 68.73416900634766, Best Acc 70.67764282226562. (lr 0.009677542933995188, MMC 0.8494745492935181)
Epoch 24: TrainACC tensor([57.91], device='cuda:0'), Acc 70.96659088134766, Best Acc 70.67764282226562. (lr 0.009649233547011816, MMC 0.8497220873832703)
