args Namespace(arch='sevenCNN', batch_size=128, closeset_ratio=0.2, conf_ema_range=[0.8, 0.9], cosine=True, dataset='cifar100', epochs=200, epsilon=0.6, exp_dir='experiment/cifar-sota/Cifar2023-08-14-14-20-03ds_cifar100_lr_0.02_ep_200_ps_1_lw_1.3_warmupepochs_30_rechange_per_epoch_30', forget_rate=0.2, gpu=0, loss_weight1=1.3, loss_weight2=0.7, low_dim=256, lr=0.02, lr_decay_epochs='100,150,180', lr_decay_rate=0.1, moco_m=0.999, moco_queue=8192, momentum=0.9, n_classes=100, noise_type='symmetric', print_freq=100, prot_start=1, proto_m=0.988, rechange_per_epoch=30, resume='', seed=100, synthetic_data='cifar100nc', topk=10, warmupepochs=30, warmuplr=0.01, weight_decay=0.0011, workers=32)

Epoch 0: TrainACC 7.044437408447266, Acc 14.769999504089355, Best Acc 0. (lr 0.02, MMC 1.0)
Epoch 1: TrainACC 13.734814643859863, Acc 18.65999984741211, Best Acc 14.769999504089355. (lr 0.019998767558491788, MMC 1.0)
Epoch 2: TrainACC 18.909446716308594, Acc 26.059999465942383, Best Acc 18.65999984741211. (lr 0.019995070538053657, MMC 1.0)
Epoch 3: TrainACC 22.766544342041016, Acc 28.34000015258789, Best Acc 26.059999465942383. (lr 0.019988909850870082, MMC 1.0)
Epoch 4: TrainACC 25.779251098632812, Acc 31.399999618530273, Best Acc 28.34000015258789. (lr 0.019980287016998433, MMC 1.0)
Epoch 5: TrainACC 28.123401641845703, Acc 34.97999954223633, Best Acc 31.399999618530273. (lr 0.01996920416399395, MMC 1.0)
Epoch 6: TrainACC 30.25775146484375, Acc 36.31999969482422, Best Acc 34.97999954223633. (lr 0.01995566402638477, MMC 1.0)
Epoch 7: TrainACC 32.18989562988281, Acc 38.849998474121094, Best Acc 36.31999969482422. (lr 0.019939669944997247, MMC 1.0)
Epoch 8: TrainACC 33.20012664794922, Acc 40.79999923706055, Best Acc 38.849998474121094. (lr 0.019921225866131636, MMC 1.0)
Epoch 9: TrainACC 34.45772171020508, Acc 41.25, Best Acc 40.79999923706055. (lr 0.01990033634058841, MMC 1.0)
Epoch 10: TrainACC 35.56066131591797, Acc 40.77000045776367, Best Acc 41.25. (lr 0.019877006522545426, MMC 1.0)
Epoch 11: TrainACC 36.30234909057617, Acc 42.53999710083008, Best Acc 41.25. (lr 0.019851242168286192, MMC 1.0)
Epoch 12: TrainACC 37.59431076049805, Acc 43.619998931884766, Best Acc 42.53999710083008. (lr 0.019823049634779603, MMC 1.0)
Epoch 13: TrainACC 38.38115310668945, Acc 44.11000061035156, Best Acc 43.619998931884766. (lr 0.019792435878111442, MMC 1.0)
Epoch 14: TrainACC 39.13083267211914, Acc 45.05999755859375, Best Acc 44.11000061035156. (lr 0.019759408451768087, MMC 1.0)
Epoch 15: TrainACC 39.830162048339844, Acc 42.79999923706055, Best Acc 45.05999755859375. (lr 0.01972397550477279, MMC 1.0)
Epoch 16: TrainACC 40.34806442260742, Acc 46.89999771118164, Best Acc 45.05999755859375. (lr 0.019686145779675025, MMC 1.0)
Epoch 17: TrainACC 40.69093704223633, Acc 45.63999938964844, Best Acc 46.89999771118164. (lr 0.019645928610393402, MMC 1.0)
Epoch 18: TrainACC 41.41184616088867, Acc 45.65999984741211, Best Acc 46.89999771118164. (lr 0.01960333391991266, MMC 1.0)
Epoch 19: TrainACC 41.500160217285156, Acc 47.13999938964844, Best Acc 46.89999771118164. (lr 0.019558372217835317, MMC 1.0)
Epoch 20: TrainACC 42.05882263183594, Acc 46.5, Best Acc 47.13999938964844. (lr 0.019511054597788586, MMC 1.0)
Epoch 21: TrainACC 42.436859130859375, Acc 45.97999954223633, Best Acc 47.13999938964844. (lr 0.019461392734687177, MMC 1.0)
Epoch 22: TrainACC 42.640663146972656, Acc 48.38999938964844, Best Acc 47.13999938964844. (lr 0.019409398881852714, MMC 1.0)
Epoch 23: TrainACC 42.9247932434082, Acc 48.97999954223633, Best Acc 48.38999938964844. (lr 0.019355085867990375, MMC 1.0)
Epoch 24: TrainACC 43.50183868408203, Acc 45.34000015258789, Best Acc 48.97999954223633. (lr 0.019298467094023632, MMC 1.0)
Epoch 25: TrainACC 43.720428466796875, Acc 47.98999786376953, Best Acc 48.97999954223633. (lr 0.019239556529787753, MMC 1.0)
Epoch 26: TrainACC 43.99696350097656, Acc 47.72999954223633, Best Acc 48.97999954223633. (lr 0.019178368710582972, MMC 1.0)
Epoch 27: TrainACC 44.07928466796875, Acc 47.939998626708984, Best Acc 48.97999954223633. (lr 0.019114918733588098, MMC 1.0)
Epoch 28: TrainACC 44.344627380371094, Acc 48.349998474121094, Best Acc 48.97999954223633. (lr 0.019049222254135537, MMC 1.0)
Epoch 29: TrainACC 44.88570785522461, Acc 48.029998779296875, Best Acc 48.97999954223633. (lr 0.01898129548184855, MMC 0.8153824806213379)
    ----------  warmup end  -----------    
Epoch 30: TrainACC tensor([34.44], device='cuda:0'), Acc 38.40999984741211, Best Acc 48.97999954223633. (lr 0.018911155176641794, MMC 0.819929838180542)
Epoch 31: TrainACC tensor([38.96], device='cuda:0'), Acc 45.71999740600586, Best Acc 48.97999954223633. (lr 0.018838818644586048, MMC 0.8260315656661987)
Epoch 32: TrainACC tensor([40.74], device='cuda:0'), Acc 46.0, Best Acc 48.97999954223633. (lr 0.018764303733638195, MMC 0.8313491940498352)
Epoch 33: TrainACC tensor([42.40], device='cuda:0'), Acc 45.91999816894531, Best Acc 48.97999954223633. (lr 0.01868762882923753, MMC 0.836176335811615)
Epoch 34: TrainACC tensor([43.38], device='cuda:0'), Acc 48.599998474121094, Best Acc 48.97999954223633. (lr 0.018608812849769396, MMC 0.840643584728241)
Epoch 35: TrainACC tensor([44.52], device='cuda:0'), Acc 49.96999740600586, Best Acc 48.97999954223633. (lr 0.01852787524189738, MMC 0.8447802066802979)
Epoch 36: TrainACC tensor([45.19], device='cuda:0'), Acc 49.64999771118164, Best Acc 49.96999740600586. (lr 0.01844483597576513, MMC 0.8485899567604065)
Epoch 37: TrainACC tensor([45.49], device='cuda:0'), Acc 51.79999923706055, Best Acc 49.96999740600586. (lr 0.018359715540069023, MMC 0.8519583344459534)
Epoch 38: TrainACC tensor([46.37], device='cuda:0'), Acc 51.78999710083008, Best Acc 51.79999923706055. (lr 0.01827253493700287, MMC 0.8549274206161499)
Epoch 39: TrainACC tensor([46.80], device='cuda:0'), Acc 52.31999969482422, Best Acc 51.79999923706055. (lr 0.018183315677075984, MMC 0.8576521873474121)
Epoch 40: TrainACC tensor([47.01], device='cuda:0'), Acc 47.78999710083008, Best Acc 52.31999969482422. (lr 0.018092079773805725, MMC 0.8601542115211487)
Epoch 41: TrainACC tensor([47.61], device='cuda:0'), Acc 52.52000045776367, Best Acc 52.31999969482422. (lr 0.017998849738286037, MMC 0.8623818755149841)
Epoch 42: TrainACC tensor([47.56], device='cuda:0'), Acc 53.28999710083008, Best Acc 52.52000045776367. (lr 0.017903648573633146, MMC 0.8643096685409546)
Epoch 43: TrainACC tensor([47.96], device='cuda:0'), Acc 52.959999084472656, Best Acc 53.28999710083008. (lr 0.017806499769309914, MMC 0.8660849928855896)
Epoch 44: TrainACC tensor([48.31], device='cuda:0'), Acc 51.939998626708984, Best Acc 53.28999710083008. (lr 0.017707427295330137, MMC 0.867697536945343)
Epoch 45: TrainACC tensor([48.30], device='cuda:0'), Acc 53.82999801635742, Best Acc 53.28999710083008. (lr 0.01760645559634431, MMC 0.8690500855445862)
Epoch 46: TrainACC tensor([48.69], device='cuda:0'), Acc 52.31999969482422, Best Acc 53.82999801635742. (lr 0.01750360958560829, MMC 0.8702904582023621)
Epoch 47: TrainACC tensor([49.10], device='cuda:0'), Acc 52.90999984741211, Best Acc 53.82999801635742. (lr 0.017398914638836308, MMC 0.8714020848274231)
Epoch 48: TrainACC tensor([48.79], device='cuda:0'), Acc 53.46999740600586, Best Acc 53.82999801635742. (lr 0.017292396587939903, MMC 0.8724954724311829)
Epoch 49: TrainACC tensor([49.17], device='cuda:0'), Acc 54.03999710083008, Best Acc 53.82999801635742. (lr 0.017184081714654256, MMC 0.8733951449394226)
Epoch 50: TrainACC tensor([49.40], device='cuda:0'), Acc 52.47999954223633, Best Acc 54.03999710083008. (lr 0.017073996744053608, MMC 0.8742289543151855)
Epoch 51: TrainACC tensor([49.73], device='cuda:0'), Acc 52.56999969482422, Best Acc 54.03999710083008. (lr 0.01696216883795722, MMC 0.8750108480453491)
Epoch 52: TrainACC tensor([49.63], device='cuda:0'), Acc 52.619998931884766, Best Acc 54.03999710083008. (lr 0.0168486255882276, MMC 0.8756118416786194)
Epoch 53: TrainACC tensor([49.48], device='cuda:0'), Acc 52.94999694824219, Best Acc 54.03999710083008. (lr 0.016733395009962636, MMC 0.8762683272361755)
Epoch 54: TrainACC tensor([50.10], device='cuda:0'), Acc 50.459999084472656, Best Acc 54.03999710083008. (lr 0.01661650553458328, MMC 0.8769468665122986)
Epoch 55: TrainACC tensor([50.19], device='cuda:0'), Acc 52.369998931884766, Best Acc 54.03999710083008. (lr 0.016497986002818536, MMC 0.8774716258049011)
Epoch 56: TrainACC tensor([50.30], device='cuda:0'), Acc 54.5099983215332, Best Acc 54.03999710083008. (lr 0.016377865657589412, MMC 0.8779159784317017)
Epoch 57: TrainACC tensor([50.34], device='cuda:0'), Acc 53.1099967956543, Best Acc 54.5099983215332. (lr 0.016256174136793696, MMC 0.8785768747329712)
Epoch 58: TrainACC tensor([50.65], device='cuda:0'), Acc 54.40999984741211, Best Acc 54.5099983215332. (lr 0.016132941465993235, MMC 0.8790029287338257)
Epoch 59: TrainACC tensor([50.64], device='cuda:0'), Acc 54.709999084472656, Best Acc 54.5099983215332. (lr 0.016008198051005583, MMC 0.8784149885177612)
Epoch 60: TrainACC tensor([50.11], device='cuda:0'), Acc 53.28999710083008, Best Acc 54.709999084472656. (lr 0.01588197467040181, MMC 0.871826171875)
Epoch 61: TrainACC tensor([50.16], device='cuda:0'), Acc 54.029998779296875, Best Acc 54.709999084472656. (lr 0.015754302467912353, MMC 0.8662433624267578)
