args Namespace(arch='sevenCNN', batch_size=128, closeset_ratio=0.2, conf_ema_range=[0.9, 0.5], cosine=True, dataset='cifar100', epochs=200, epsilon=0.6, exp_dir='experiment/cifar-sota/Cifar2023-08-09-14-50-48ds_cifar100_lr_0.02_ep_200_ps_1_lw_1.3_warmupepochs_30_rechange_per_epoch_30', forget_rate=0.2, gpu=0, loss_weight1=1.3, loss_weight2=0.7, low_dim=256, lr=0.02, lr_decay_epochs='100,150,180', lr_decay_rate=0.1, moco_m=0.999, moco_queue=8192, momentum=0.9, n_classes=100, noise_type='symmetric', print_freq=100, prot_start=1, proto_m=0.988, rechange_per_epoch=30, resume='', seed=100, synthetic_data='cifar80no', topk=10, warmupepochs=30, warmuplr=0.01, weight_decay=0.0011, workers=32)

Epoch 0: TrainACC 6.417438983917236, Acc 15.05000114440918, Best Acc 0. (lr 0.02, MMC 1.0)
Epoch 1: TrainACC 11.781888961791992, Acc 21.86250114440918, Best Acc 15.05000114440918. (lr 0.019998767558491788, MMC 1.0)
Epoch 2: TrainACC 15.252957344055176, Acc 23.437501907348633, Best Acc 21.86250114440918. (lr 0.019995070538053657, MMC 1.0)
Epoch 3: TrainACC 18.102222442626953, Acc 29.512500762939453, Best Acc 23.437501907348633. (lr 0.019988909850870082, MMC 1.0)
Epoch 4: TrainACC 20.465553283691406, Acc 32.60000228881836, Best Acc 29.512500762939453. (lr 0.019980287016998433, MMC 1.0)
Epoch 5: TrainACC 22.4416561126709, Acc 35.41250228881836, Best Acc 32.60000228881836. (lr 0.01996920416399395, MMC 1.0)
Epoch 6: TrainACC 24.02573585510254, Acc 35.76250076293945, Best Acc 35.41250228881836. (lr 0.01995566402638477, MMC 1.0)
Epoch 7: TrainACC 25.340473175048828, Acc 37.98750305175781, Best Acc 35.76250076293945. (lr 0.019939669944997247, MMC 1.0)
Epoch 8: TrainACC 26.731536865234375, Acc 40.95000076293945, Best Acc 37.98750305175781. (lr 0.019921225866131636, MMC 1.0)
Epoch 9: TrainACC 27.617088317871094, Acc 41.51250076293945, Best Acc 40.95000076293945. (lr 0.01990033634058841, MMC 1.0)
Epoch 10: TrainACC 28.546995162963867, Acc 42.23750305175781, Best Acc 41.51250076293945. (lr 0.019877006522545426, MMC 1.0)
Epoch 11: TrainACC 29.560022354125977, Acc 42.562503814697266, Best Acc 42.23750305175781. (lr 0.019851242168286192, MMC 1.0)
Epoch 12: TrainACC 30.180625915527344, Acc 43.337501525878906, Best Acc 42.562503814697266. (lr 0.019823049634779603, MMC 1.0)
Epoch 13: TrainACC 30.758472442626953, Acc 44.35000228881836, Best Acc 43.337501525878906. (lr 0.019792435878111442, MMC 1.0)
Epoch 14: TrainACC 31.564496994018555, Acc 45.16250228881836, Best Acc 44.35000228881836. (lr 0.019759408451768087, MMC 1.0)
Epoch 15: TrainACC 32.1523323059082, Acc 46.500003814697266, Best Acc 45.16250228881836. (lr 0.01972397550477279, MMC 1.0)
Epoch 16: TrainACC 32.76414489746094, Acc 46.212501525878906, Best Acc 46.500003814697266. (lr 0.019686145779675025, MMC 1.0)
Epoch 17: TrainACC 32.95956039428711, Acc 43.025001525878906, Best Acc 46.500003814697266. (lr 0.019645928610393402, MMC 1.0)
Epoch 18: TrainACC 33.677268981933594, Acc 46.375003814697266, Best Acc 46.500003814697266. (lr 0.01960333391991266, MMC 1.0)
Epoch 19: TrainACC 34.044517517089844, Acc 49.16250228881836, Best Acc 46.500003814697266. (lr 0.019558372217835317, MMC 1.0)
Epoch 20: TrainACC 34.28308868408203, Acc 48.32500076293945, Best Acc 49.16250228881836. (lr 0.019511054597788586, MMC 1.0)
Epoch 21: TrainACC 34.6467399597168, Acc 47.38750076293945, Best Acc 49.16250228881836. (lr 0.019461392734687177, MMC 1.0)
Epoch 22: TrainACC 34.94045639038086, Acc 47.16250228881836, Best Acc 49.16250228881836. (lr 0.019409398881852714, MMC 1.0)
Epoch 23: TrainACC 35.26055145263672, Acc 50.375003814697266, Best Acc 49.16250228881836. (lr 0.019355085867990375, MMC 1.0)
Epoch 24: TrainACC 35.64698028564453, Acc 49.32500076293945, Best Acc 50.375003814697266. (lr 0.019298467094023632, MMC 1.0)
Epoch 25: TrainACC 35.67934799194336, Acc 48.28750228881836, Best Acc 50.375003814697266. (lr 0.019239556529787753, MMC 1.0)
Epoch 26: TrainACC 36.11772537231445, Acc 50.03750228881836, Best Acc 50.375003814697266. (lr 0.019178368710582972, MMC 1.0)
Epoch 27: TrainACC 36.312740325927734, Acc 47.000003814697266, Best Acc 50.375003814697266. (lr 0.019114918733588098, MMC 1.0)
Epoch 28: TrainACC 36.50095748901367, Acc 48.60000228881836, Best Acc 50.375003814697266. (lr 0.019049222254135537, MMC 1.0)
Epoch 29: TrainACC 36.65401077270508, Acc 49.500003814697266, Best Acc 50.375003814697266. (lr 0.01898129548184855, MMC 0.8153483271598816)
    ----------  warmup end  -----------    
Epoch 30: TrainACC tensor([28.65], device='cuda:0'), Acc 43.212501525878906, Best Acc 50.375003814697266. (lr 0.018911155176641794, MMC 0.8193445205688477)
Epoch 31: TrainACC tensor([32.25], device='cuda:0'), Acc 47.625003814697266, Best Acc 50.375003814697266. (lr 0.018838818644586048, MMC 0.8245006799697876)
Epoch 32: TrainACC tensor([34.06], device='cuda:0'), Acc 46.10000228881836, Best Acc 50.375003814697266. (lr 0.018764303733638195, MMC 0.8295028209686279)
Epoch 33: TrainACC tensor([35.31], device='cuda:0'), Acc 52.11250305175781, Best Acc 50.375003814697266. (lr 0.01868762882923753, MMC 0.834143877029419)
Epoch 34: TrainACC tensor([35.93], device='cuda:0'), Acc 52.650001525878906, Best Acc 52.11250305175781. (lr 0.018608812849769396, MMC 0.8384841680526733)
Epoch 35: TrainACC tensor([36.88], device='cuda:0'), Acc 51.937503814697266, Best Acc 52.650001525878906. (lr 0.01852787524189738, MMC 0.8425858616828918)
Epoch 36: TrainACC tensor([37.36], device='cuda:0'), Acc 51.900001525878906, Best Acc 52.650001525878906. (lr 0.01844483597576513, MMC 0.8462721109390259)
Epoch 37: TrainACC tensor([37.74], device='cuda:0'), Acc 52.10000228881836, Best Acc 52.650001525878906. (lr 0.018359715540069023, MMC 0.849656879901886)
Epoch 38: TrainACC tensor([38.34], device='cuda:0'), Acc 54.51250076293945, Best Acc 52.650001525878906. (lr 0.01827253493700287, MMC 0.8527628183364868)
Epoch 39: TrainACC tensor([38.81], device='cuda:0'), Acc 52.312503814697266, Best Acc 54.51250076293945. (lr 0.018183315677075984, MMC 0.8555760979652405)
Epoch 40: TrainACC tensor([38.91], device='cuda:0'), Acc 53.55000305175781, Best Acc 54.51250076293945. (lr 0.018092079773805725, MMC 0.8579545021057129)
Epoch 41: TrainACC tensor([39.33], device='cuda:0'), Acc 55.48750305175781, Best Acc 54.51250076293945. (lr 0.017998849738286037, MMC 0.8603352904319763)
Epoch 42: TrainACC tensor([39.56], device='cuda:0'), Acc 54.82500076293945, Best Acc 55.48750305175781. (lr 0.017903648573633146, MMC 0.862249493598938)
Epoch 43: TrainACC tensor([39.95], device='cuda:0'), Acc 55.45000076293945, Best Acc 55.48750305175781. (lr 0.017806499769309914, MMC 0.8640831708908081)
Epoch 44: TrainACC tensor([40.06], device='cuda:0'), Acc 53.76250076293945, Best Acc 55.48750305175781. (lr 0.017707427295330137, MMC 0.8657821416854858)
Epoch 45: TrainACC tensor([40.01], device='cuda:0'), Acc 54.062503814697266, Best Acc 55.48750305175781. (lr 0.01760645559634431, MMC 0.8671819567680359)
Epoch 46: TrainACC tensor([40.20], device='cuda:0'), Acc 54.41250228881836, Best Acc 55.48750305175781. (lr 0.01750360958560829, MMC 0.8683828711509705)
Epoch 47: TrainACC tensor([40.60], device='cuda:0'), Acc 54.76250076293945, Best Acc 55.48750305175781. (lr 0.017398914638836308, MMC 0.8695952892303467)
Epoch 48: TrainACC tensor([40.74], device='cuda:0'), Acc 55.087501525878906, Best Acc 55.48750305175781. (lr 0.017292396587939903, MMC 0.8705779314041138)
Epoch 49: TrainACC tensor([40.91], device='cuda:0'), Acc 52.26250076293945, Best Acc 55.48750305175781. (lr 0.017184081714654256, MMC 0.8714162111282349)
Epoch 50: TrainACC tensor([40.93], device='cuda:0'), Acc 54.41250228881836, Best Acc 55.48750305175781. (lr 0.017073996744053608, MMC 0.8721285462379456)
Epoch 51: TrainACC tensor([40.97], device='cuda:0'), Acc 53.38750076293945, Best Acc 55.48750305175781. (lr 0.01696216883795722, MMC 0.8729074597358704)
Epoch 52: TrainACC tensor([41.36], device='cuda:0'), Acc 56.30000305175781, Best Acc 55.48750305175781. (lr 0.0168486255882276, MMC 0.8734593391418457)
Epoch 53: TrainACC tensor([41.45], device='cuda:0'), Acc 54.97500228881836, Best Acc 56.30000305175781. (lr 0.016733395009962636, MMC 0.8741779327392578)
Epoch 54: TrainACC tensor([41.50], device='cuda:0'), Acc 54.57500076293945, Best Acc 56.30000305175781. (lr 0.01661650553458328, MMC 0.8748376965522766)
Epoch 55: TrainACC tensor([41.65], device='cuda:0'), Acc 56.087501525878906, Best Acc 56.30000305175781. (lr 0.016497986002818536, MMC 0.8753910660743713)
Epoch 56: TrainACC tensor([41.69], device='cuda:0'), Acc 56.53750228881836, Best Acc 56.30000305175781. (lr 0.016377865657589412, MMC 0.8759577870368958)
Epoch 57: TrainACC tensor([41.91], device='cuda:0'), Acc 55.937503814697266, Best Acc 56.53750228881836. (lr 0.016256174136793696, MMC 0.8763997554779053)
Epoch 58: TrainACC tensor([42.18], device='cuda:0'), Acc 55.775001525878906, Best Acc 56.53750228881836. (lr 0.016132941465993235, MMC 0.876883864402771)
Epoch 59: TrainACC tensor([42.09], device='cuda:0'), Acc 57.10000228881836, Best Acc 56.53750228881836. (lr 0.016008198051005583, MMC 0.876390278339386)
Epoch 60: TrainACC tensor([41.49], device='cuda:0'), Acc 56.38750457763672, Best Acc 57.10000228881836. (lr 0.01588197467040181, MMC 0.8643404245376587)
Epoch 61: TrainACC tensor([41.76], device='cuda:0'), Acc 55.587501525878906, Best Acc 57.10000228881836. (lr 0.015754302467912353, MMC 0.8548814058303833)
