args Namespace(arch='InceptionResNetV2', batch_size=32, closeset_ratio=0.2, conf_ema_range=[0.4, 0.4], cosine=True, dataset='Webvision', epochs=200, epsilon=0.6, exp_dir='experiment/Webvision_cuda0/Resample_2023-08-03-15-12-10ds_Webvision_pr_0.1_lr_0.02_ep_200_ps_1_lw_0.4_heir_False_warmupepochs_39_rechange_per_epoch_30', forget_rate=0.15, gpu=0, hierarchical=False, loss_weight1=0.4, loss_weight2=1.0, loss_weight4=1.0, low_dim=512, lr=0.02, lr_decay_epochs='100,150,180', lr_decay_rate=0.1, moco_m=0.999, moco_queue=4096, momentum=0.9, n_classes=50, noise_type='symmetric', partial_rate=0.1, print_freq=100, prot_start=1, proto_m=0.99, rechange_per_epoch=30, resume='', seed=100, synthetic_data=None, topk=25, warmupepochs=39, weight_decay=0.0005, workers=32)

Epoch 0: TrainACC 21.851245880126953, Acc 24.044586181640625, Best Acc 0. (lr 0.02, MMC 1.0)
Epoch 1: TrainACC 33.06192398071289, Acc 33.28025436401367, Best Acc 24.044586181640625. (lr 0.019998767558491788, MMC 1.0)
Epoch 2: TrainACC 38.70845413208008, Acc 36.106689453125, Best Acc 33.28025436401367. (lr 0.019995070538053657, MMC 1.0)
Epoch 3: TrainACC 43.247615814208984, Acc 40.56528854370117, Best Acc 36.106689453125. (lr 0.019988909850870082, MMC 1.0)
Epoch 4: TrainACC 46.532325744628906, Acc 47.651275634765625, Best Acc 40.56528854370117. (lr 0.019980287016998433, MMC 1.0)
Epoch 5: TrainACC 48.63688659667969, Acc 45.8598747253418, Best Acc 47.651275634765625. (lr 0.01996920416399395, MMC 1.0)
Epoch 6: TrainACC 50.6873664855957, Acc 51.23407745361328, Best Acc 47.651275634765625. (lr 0.01995566402638477, MMC 1.0)
Epoch 7: TrainACC 51.94788360595703, Acc 47.730892181396484, Best Acc 51.23407745361328. (lr 0.019939669944997247, MMC 1.0)
Epoch 8: TrainACC 52.86723709106445, Acc 48.56687927246094, Best Acc 51.23407745361328. (lr 0.019921225866131636, MMC 1.0)
Epoch 9: TrainACC 53.80883026123047, Acc 52.1098747253418, Best Acc 51.23407745361328. (lr 0.01990033634058841, MMC 1.0)
Epoch 10: TrainACC 54.835838317871094, Acc 54.856689453125, Best Acc 52.1098747253418. (lr 0.019877006522545426, MMC 1.0)
Epoch 11: TrainACC 55.159812927246094, Acc 54.93630599975586, Best Acc 54.856689453125. (lr 0.019851242168286192, MMC 1.0)
Epoch 12: TrainACC 55.97353744506836, Acc 52.1098747253418, Best Acc 54.93630599975586. (lr 0.019823049634779603, MMC 1.0)
Epoch 13: TrainACC 56.79938888549805, Acc 57.44426727294922, Best Acc 54.93630599975586. (lr 0.019792435878111442, MMC 1.0)
Epoch 14: TrainACC 56.958595275878906, Acc 59.39490509033203, Best Acc 57.44426727294922. (lr 0.019759408451768087, MMC 1.0)
Epoch 15: TrainACC 57.47715377807617, Acc 59.036624908447266, Best Acc 59.39490509033203. (lr 0.01972397550477279, MMC 1.0)
Epoch 16: TrainACC 57.98762893676758, Acc 55.13534927368164, Best Acc 59.39490509033203. (lr 0.019686145779675025, MMC 1.0)
Epoch 17: TrainACC 58.33687210083008, Acc 59.99203872680664, Best Acc 59.39490509033203. (lr 0.019645928610393402, MMC 1.0)
Epoch 18: TrainACC 58.76951217651367, Acc 54.37898254394531, Best Acc 59.99203872680664. (lr 0.01960333391991266, MMC 1.0)
Epoch 19: TrainACC 58.92366027832031, Acc 58.28025436401367, Best Acc 59.99203872680664. (lr 0.019558372217835317, MMC 1.0)
Epoch 20: TrainACC 59.10055923461914, Acc 58.71815490722656, Best Acc 59.99203872680664. (lr 0.019511054597788586, MMC 1.0)
Epoch 21: TrainACC 59.31333923339844, Acc 55.214969635009766, Best Acc 59.99203872680664. (lr 0.019461392734687177, MMC 1.0)
Epoch 22: TrainACC 59.69038009643555, Acc 57.48407745361328, Best Acc 59.99203872680664. (lr 0.019409398881852714, MMC 1.0)
Epoch 23: TrainACC 59.98908233642578, Acc 54.97611618041992, Best Acc 59.99203872680664. (lr 0.019355085867990375, MMC 1.0)
Epoch 24: TrainACC 60.07752990722656, Acc 58.59872817993164, Best Acc 59.99203872680664. (lr 0.019298467094023632, MMC 1.0)
Epoch 25: TrainACC 60.38381576538086, Acc 56.80732727050781, Best Acc 59.99203872680664. (lr 0.019239556529787753, MMC 1.0)
Epoch 26: TrainACC 60.511688232421875, Acc 60.54936218261719, Best Acc 59.99203872680664. (lr 0.019178368710582972, MMC 1.0)
Epoch 27: TrainACC 60.613277435302734, Acc 57.802547454833984, Best Acc 60.54936218261719. (lr 0.019114918733588098, MMC 1.0)
Epoch 28: TrainACC 61.060569763183594, Acc 60.0318489074707, Best Acc 60.54936218261719. (lr 0.019049222254135537, MMC 1.0)
Epoch 29: TrainACC 61.30974197387695, Acc 53.8216552734375, Best Acc 60.54936218261719. (lr 0.01898129548184855, MMC 1.0)
Epoch 30: TrainACC 61.2581901550293, Acc 58.519107818603516, Best Acc 60.54936218261719. (lr 0.018911155176641794, MMC 1.0)
Epoch 31: TrainACC 61.38454055786133, Acc 56.56847381591797, Best Acc 60.54936218261719. (lr 0.018838818644586048, MMC 1.0)
Epoch 32: TrainACC 61.63725280761719, Acc 59.51433181762695, Best Acc 60.54936218261719. (lr 0.018764303733638195, MMC 1.0)
Epoch 33: TrainACC 61.82173156738281, Acc 59.51433181762695, Best Acc 60.54936218261719. (lr 0.01868762882923753, MMC 1.0)
Epoch 34: TrainACC 61.79696273803711, Acc 59.554141998291016, Best Acc 60.54936218261719. (lr 0.018608812849769396, MMC 1.0)
Epoch 35: TrainACC 62.11790466308594, Acc 59.35509490966797, Best Acc 60.54936218261719. (lr 0.01852787524189738, MMC 1.0)
Epoch 36: TrainACC 62.157325744628906, Acc 60.151275634765625, Best Acc 60.54936218261719. (lr 0.01844483597576513, MMC 1.0)
Epoch 37: TrainACC 62.35545349121094, Acc 59.51433181762695, Best Acc 60.54936218261719. (lr 0.018359715540069023, MMC 1.0)
Epoch 38: TrainACC 62.435813903808594, Acc 57.48407745361328, Best Acc 60.54936218261719. (lr 0.01827253493700287, MMC 0.8499473929405212)
    ----------  warmup end  -----------    
Epoch 39: TrainACC tensor([47.76], device='cuda:0'), Acc 54.856689453125, Best Acc 60.54936218261719. (lr 0.018183315677075984, MMC 0.9399788975715637)
Epoch 40: TrainACC tensor([55.35], device='cuda:0'), Acc 57.16560745239258, Best Acc 60.54936218261719. (lr 0.018092079773805725, MMC 0.9478949308395386)
Epoch 41: TrainACC tensor([58.02], device='cuda:0'), Acc 59.832801818847656, Best Acc 60.54936218261719. (lr 0.017998849738286037, MMC 0.9533550143241882)
Epoch 42: TrainACC tensor([59.64], device='cuda:0'), Acc 62.30095672607422, Best Acc 60.54936218261719. (lr 0.017903648573633146, MMC 0.9560796618461609)
Epoch 43: TrainACC tensor([60.86], device='cuda:0'), Acc 63.61465072631836, Best Acc 62.30095672607422. (lr 0.017806499769309914, MMC 0.957465648651123)
Epoch 44: TrainACC tensor([61.29], device='cuda:0'), Acc 63.73407745361328, Best Acc 63.61465072631836. (lr 0.017707427295330137, MMC 0.9582421183586121)
Epoch 45: TrainACC tensor([61.82], device='cuda:0'), Acc 64.1719741821289, Best Acc 63.73407745361328. (lr 0.01760645559634431, MMC 0.9591169953346252)
Epoch 46: TrainACC tensor([62.32], device='cuda:0'), Acc 65.08757781982422, Best Acc 64.1719741821289. (lr 0.01750360958560829, MMC 0.9592273831367493)
Epoch 47: TrainACC tensor([62.90], device='cuda:0'), Acc 65.52548217773438, Best Acc 65.08757781982422. (lr 0.017398914638836308, MMC 0.9592432975769043)
Epoch 48: TrainACC tensor([62.91], device='cuda:0'), Acc 64.68949127197266, Best Acc 65.52548217773438. (lr 0.017292396587939903, MMC 0.9596506953239441)
Epoch 49: TrainACC tensor([63.31], device='cuda:0'), Acc 61.18630599975586, Best Acc 65.52548217773438. (lr 0.017184081714654256, MMC 0.9596540331840515)
Epoch 50: TrainACC tensor([63.58], device='cuda:0'), Acc 64.68949127197266, Best Acc 65.52548217773438. (lr 0.017073996744053608, MMC 0.9598710536956787)
Epoch 51: TrainACC tensor([63.90], device='cuda:0'), Acc 65.5652847290039, Best Acc 65.52548217773438. (lr 0.01696216883795722, MMC 0.9598236083984375)
Epoch 52: TrainACC tensor([64.01], device='cuda:0'), Acc 65.32643127441406, Best Acc 65.5652847290039. (lr 0.0168486255882276, MMC 0.9601794481277466)
Epoch 53: TrainACC tensor([64.14], device='cuda:0'), Acc 66.20223236083984, Best Acc 65.5652847290039. (lr 0.016733395009962636, MMC 0.9602101445198059)
Epoch 54: TrainACC tensor([64.55], device='cuda:0'), Acc 64.13216400146484, Best Acc 66.20223236083984. (lr 0.01661650553458328, MMC 0.9604658484458923)
Epoch 55: TrainACC tensor([64.49], device='cuda:0'), Acc 65.76433563232422, Best Acc 66.20223236083984. (lr 0.016497986002818536, MMC 0.9605767130851746)
Epoch 56: TrainACC tensor([64.80], device='cuda:0'), Acc 65.16719818115234, Best Acc 66.20223236083984. (lr 0.016377865657589412, MMC 0.9606499671936035)
Epoch 57: TrainACC tensor([64.94], device='cuda:0'), Acc 65.72452545166016, Best Acc 66.20223236083984. (lr 0.016256174136793696, MMC 0.9606923460960388)
Epoch 58: TrainACC tensor([65.32], device='cuda:0'), Acc 65.32643127441406, Best Acc 66.20223236083984. (lr 0.016132941465993235, MMC 0.9602506160736084)
Epoch 59: TrainACC tensor([65.16], device='cuda:0'), Acc 66.12261199951172, Best Acc 66.20223236083984. (lr 0.016008198051005583, MMC 0.9605890512466431)
Epoch 60: TrainACC tensor([65.29], device='cuda:0'), Acc 65.5652847290039, Best Acc 66.20223236083984. (lr 0.01588197467040181, MMC 0.9608428478240967)
Epoch 61: TrainACC tensor([65.55], device='cuda:0'), Acc 65.92356872558594, Best Acc 66.20223236083984. (lr 0.015754302467912353, MMC 0.960921585559845)
Epoch 62: TrainACC tensor([65.68], device='cuda:0'), Acc 66.48089599609375, Best Acc 66.20223236083984. (lr 0.015625212944742787, MMC 0.9608404636383057)
Epoch 63: TrainACC tensor([65.85], device='cuda:0'), Acc 67.31687927246094, Best Acc 66.48089599609375. (lr 0.015494737951801337, MMC 0.9608108401298523)
Epoch 64: TrainACC tensor([65.92], device='cuda:0'), Acc 66.3216552734375, Best Acc 67.31687927246094. (lr 0.015362909681840176, MMC 0.9608528017997742)
Epoch 65: TrainACC tensor([66.30], device='cuda:0'), Acc 68.86943054199219, Best Acc 67.31687927246094. (lr 0.01522976066151233, MMC 0.9609982371330261)
Epoch 66: TrainACC tensor([66.34], device='cuda:0'), Acc 66.2420425415039, Best Acc 68.86943054199219. (lr 0.01509532374334621, MMC 0.9610545635223389)
Epoch 67: TrainACC tensor([66.34], device='cuda:0'), Acc 66.48089599609375, Best Acc 68.86943054199219. (lr 0.014959632097639753, MMC 0.9609211087226868)
Epoch 68: TrainACC tensor([67.52], device='cuda:0'), Acc 68.94904327392578, Best Acc 68.86943054199219. (lr 0.014822719204276136, MMC 0.960826575756073)
Epoch 69: TrainACC tensor([66.32], device='cuda:0'), Acc 66.7197494506836, Best Acc 68.94904327392578. (lr 0.01468461884446313, MMC 0.9433280825614929)
Epoch 70: TrainACC tensor([66.51], device='cuda:0'), Acc 67.31687927246094, Best Acc 68.94904327392578. (lr 0.014545365092398073, MMC 0.9460693597793579)
Epoch 71: TrainACC tensor([66.64], device='cuda:0'), Acc 67.47611236572266, Best Acc 68.94904327392578. (lr 0.014404992306860591, MMC 0.9480711817741394)
Epoch 72: TrainACC tensor([66.57], device='cuda:0'), Acc 67.11783599853516, Best Acc 68.94904327392578. (lr 0.014263535122735076, MMC 0.9487024545669556)
Epoch 73: TrainACC tensor([66.95], device='cuda:0'), Acc 67.6353530883789, Best Acc 68.94904327392578. (lr 0.014121028442465038, MMC 0.9497219324111938)
Epoch 74: TrainACC tensor([67.16], device='cuda:0'), Acc 68.78981018066406, Best Acc 68.94904327392578. (lr 0.013977507427441457, MMC 0.9500652551651001)
Epoch 75: TrainACC tensor([67.28], device='cuda:0'), Acc 68.55095672607422, Best Acc 68.94904327392578. (lr 0.013833007489327247, MMC 0.950056791305542)
Epoch 76: TrainACC tensor([67.33], device='cuda:0'), Acc 69.10828399658203, Best Acc 68.94904327392578. (lr 0.013687564281319935, MMC 0.9504005312919617)
Epoch 77: TrainACC tensor([67.74], device='cuda:0'), Acc 66.75955200195312, Best Acc 69.10828399658203. (lr 0.01354121368935478, MMC 0.9506450295448303)
Epoch 78: TrainACC tensor([67.78], device='cuda:0'), Acc 67.91401672363281, Best Acc 69.10828399658203. (lr 0.013393991823250464, MMC 0.9506624937057495)
