args Namespace(arch='resnet50', batch_size=48, closeset_ratio=0.2, conf_ema_range=[0.8, 0.9], cosine=True, dataset='web-aircraft', epochs=100, epsilon=0.6, exp_dir='experiment/SOTA-0728/resnet18car2023-07-28-22-25-01ds_web-aircraft_pr_0.1_lr_0.02_ep_100_ps_1_lw_0.15_heir_False_warmupepochs_10_rechange_per_epoch_30', forget_rate=0.18, gpu=0, hierarchical=False, loss_weight1=0.15, loss_weight2=0.2, loss_weight3=1.0, loss_weight4=1.0, low_dim=512, lr=0.02, lr_decay_epochs='100,150,180', lr_decay_rate=0.1, moco_m=0.999, moco_queue=8192, momentum=0.85, n_classes=100, noise_type='symmetric', partial_rate=0.1, print_freq=100, prot_start=1, proto_m=0.998, rechange_per_epoch=30, resume='', seed=100, synthetic_data=None, topk=5, warmupepochs=10, warmuplr=0.01, weight_decay=0.0011, workers=32)

Epoch 0: TrainACC 22.830963134765625, Acc 40.87918472290039, Best Acc 0. (lr 0.01, MMC 0.9999999403953552)
Epoch 1: TrainACC 49.157814025878906, Acc 50.74760437011719, Best Acc 40.87918472290039. (lr 0.01, MMC 0.9999999403953552)
Epoch 2: TrainACC 61.00175094604492, Acc 57.165069580078125, Best Acc 50.74760437011719. (lr 0.01, MMC 0.9999999403953552)
Epoch 3: TrainACC 68.40571594238281, Acc 58.81578826904297, Best Acc 57.165069580078125. (lr 0.01, MMC 0.9999999403953552)
Epoch 4: TrainACC 74.02629089355469, Acc 65.66387176513672, Best Acc 58.81578826904297. (lr 0.01, MMC 0.9999999403953552)
Epoch 5: TrainACC 77.8353500366211, Acc 69.52751159667969, Best Acc 65.66387176513672. (lr 0.01, MMC 0.9999999403953552)
Epoch 6: TrainACC 82.06562042236328, Acc 73.714111328125, Best Acc 69.52751159667969. (lr 0.01, MMC 0.9999999403953552)
Epoch 7: TrainACC 85.01480865478516, Acc 70.75358581542969, Best Acc 73.714111328125. (lr 0.01, MMC 0.9999999403953552)
Epoch 8: TrainACC 87.1335678100586, Acc 73.77391815185547, Best Acc 73.714111328125. (lr 0.01, MMC 0.9999999403953552)
Epoch 9: TrainACC 89.46955871582031, Acc 69.46769714355469, Best Acc 73.77391815185547. (lr 0.01, MMC 0.8497370481491089)
    ----------  warmup end  -----------    
Epoch 10: TrainACC tensor([77.71], device='cuda:0'), Acc 65.90908813476562, Best Acc 73.77391815185547. (lr 0.019511054597788586, MMC 0.8581510186195374)
Epoch 11: TrainACC tensor([79.23], device='cuda:0'), Acc 67.16506958007812, Best Acc 73.77391815185547. (lr 0.019409398881852714, MMC 0.8653411865234375)
Epoch 12: TrainACC tensor([79.09], device='cuda:0'), Acc 65.06578826904297, Best Acc 73.77391815185547. (lr 0.019298467094023632, MMC 0.8716602325439453)
Epoch 13: TrainACC tensor([77.43], device='cuda:0'), Acc 51.907894134521484, Best Acc 73.77391815185547. (lr 0.019178368710582972, MMC 0.8767728209495544)
Epoch 14: TrainACC tensor([79.63], device='cuda:0'), Acc 61.543060302734375, Best Acc 73.77391815185547. (lr 0.019049222254135537, MMC 0.8814507722854614)
Epoch 15: TrainACC tensor([80.48], device='cuda:0'), Acc 53.79186248779297, Best Acc 73.77391815185547. (lr 0.018911155176641794, MMC 0.8857660889625549)
Epoch 16: TrainACC tensor([80.60], device='cuda:0'), Acc 67.13516235351562, Best Acc 73.77391815185547. (lr 0.018764303733638195, MMC 0.8896808624267578)
Epoch 17: TrainACC tensor([83.49], device='cuda:0'), Acc 66.0287094116211, Best Acc 73.77391815185547. (lr 0.018608812849769396, MMC 0.8934869766235352)
Epoch 18: TrainACC tensor([83.99], device='cuda:0'), Acc 67.01554870605469, Best Acc 73.77391815185547. (lr 0.01844483597576513, MMC 0.897155225276947)
Epoch 19: TrainACC tensor([84.05], device='cuda:0'), Acc 52.805023193359375, Best Acc 73.77391815185547. (lr 0.01827253493700287, MMC 0.9004678130149841)
Epoch 20: TrainACC tensor([85.34], device='cuda:0'), Acc 70.9928207397461, Best Acc 73.77391815185547. (lr 0.018092079773805725, MMC 0.9032262563705444)
Epoch 21: TrainACC tensor([85.82], device='cuda:0'), Acc 70.15550231933594, Best Acc 73.77391815185547. (lr 0.017903648573633146, MMC 0.906208336353302)
Epoch 22: TrainACC tensor([87.27], device='cuda:0'), Acc 71.2320556640625, Best Acc 73.77391815185547. (lr 0.017707427295330137, MMC 0.9090650081634521)
Epoch 23: TrainACC tensor([87.86], device='cuda:0'), Acc 73.4748764038086, Best Acc 73.77391815185547. (lr 0.01750360958560829, MMC 0.9117467999458313)
Epoch 24: TrainACC tensor([88.26], device='cuda:0'), Acc 71.35166931152344, Best Acc 73.77391815185547. (lr 0.017292396587939903, MMC 0.9143962264060974)
Epoch 25: TrainACC tensor([87.84], device='cuda:0'), Acc 71.55502319335938, Best Acc 73.77391815185547. (lr 0.017073996744053608, MMC 0.9167402386665344)
Epoch 26: TrainACC tensor([87.45], device='cuda:0'), Acc 69.79066467285156, Best Acc 73.77391815185547. (lr 0.0168486255882276, MMC 0.9184146523475647)
Epoch 27: TrainACC tensor([86.82], device='cuda:0'), Acc 66.68061828613281, Best Acc 73.77391815185547. (lr 0.01661650553458328, MMC 0.9202236533164978)
Epoch 28: TrainACC tensor([88.18], device='cuda:0'), Acc 69.43181610107422, Best Acc 73.77391815185547. (lr 0.016377865657589412, MMC 0.9223199486732483)
Epoch 29: TrainACC tensor([87.80], device='cuda:0'), Acc 67.79306030273438, Best Acc 73.77391815185547. (lr 0.016132941465993235, MMC 0.9234511256217957)
Epoch 30: TrainACC tensor([88.77], device='cuda:0'), Acc 70.42463684082031, Best Acc 73.77391815185547. (lr 0.01588197467040181, MMC 0.9248101711273193)
Epoch 31: TrainACC tensor([89.31], device='cuda:0'), Acc 72.00358581542969, Best Acc 73.77391815185547. (lr 0.015625212944742787, MMC 0.9268187284469604)
Epoch 32: TrainACC tensor([90.12], device='cuda:0'), Acc 73.80382537841797, Best Acc 73.77391815185547. (lr 0.015362909681840176, MMC 0.9289610385894775)
Epoch 33: TrainACC tensor([90.55], device='cuda:0'), Acc 76.34568786621094, Best Acc 73.80382537841797. (lr 0.01509532374334621, MMC 0.9307650923728943)
Epoch 34: TrainACC tensor([89.69], device='cuda:0'), Acc 73.23564147949219, Best Acc 76.34568786621094. (lr 0.014822719204276136, MMC 0.9322667717933655)
Epoch 35: TrainACC tensor([90.27], device='cuda:0'), Acc 74.52153015136719, Best Acc 76.34568786621094. (lr 0.014545365092398073, MMC 0.9337433576583862)
Epoch 36: TrainACC tensor([90.47], device='cuda:0'), Acc 74.25238800048828, Best Acc 76.34568786621094. (lr 0.014263535122735076, MMC 0.9352964758872986)
Epoch 37: TrainACC tensor([91.00], device='cuda:0'), Acc 76.16626739501953, Best Acc 76.34568786621094. (lr 0.013977507427441457, MMC 0.9372482299804688)
Epoch 38: TrainACC tensor([90.88], device='cuda:0'), Acc 76.70454406738281, Best Acc 76.34568786621094. (lr 0.013687564281319935, MMC 0.9386964440345764)
Epoch 39: TrainACC tensor([86.62], device='cuda:0'), Acc 76.91387176513672, Best Acc 76.70454406738281. (lr 0.013393991823250464, MMC 0.9385486245155334)
Epoch 40: TrainACC tensor([91.26], device='cuda:0'), Acc 75.47846984863281, Best Acc 76.91387176513672. (lr 0.013097079773805725, MMC 0.9380377531051636)
Epoch 41: TrainACC tensor([91.48], device='cuda:0'), Acc 75.44856262207031, Best Acc 76.91387176513672. (lr 0.0127971211493319, MMC 0.9380160570144653)
Epoch 42: TrainACC tensor([91.53], device='cuda:0'), Acc 73.67823028564453, Best Acc 76.91387176513672. (lr 0.012494411972776898, MMC 0.9378825426101685)
Epoch 43: TrainACC tensor([91.86], device='cuda:0'), Acc 79.66506958007812, Best Acc 76.91387176513672. (lr 0.012189250981551462, MMC 0.9385722279548645)
Epoch 44: TrainACC tensor([92.01], device='cuda:0'), Acc 78.02033233642578, Best Acc 79.66506958007812. (lr 0.01188193933271139, MMC 0.9402459859848022)
Epoch 45: TrainACC tensor([92.32], device='cuda:0'), Acc 80.29306030273438, Best Acc 79.66506958007812. (lr 0.011572780305751908, MMC 0.9422065019607544)
Epoch 46: TrainACC tensor([92.42], device='cuda:0'), Acc 79.30621337890625, Best Acc 80.29306030273438. (lr 0.011262079003307402, MMC 0.9437812566757202)
Epoch 47: TrainACC tensor([92.44], device='cuda:0'), Acc 80.2332534790039, Best Acc 80.29306030273438. (lr 0.010950142050051959, MMC 0.9454915523529053)
Epoch 48: TrainACC tensor([92.80], device='cuda:0'), Acc 78.76793670654297, Best Acc 80.29306030273438. (lr 0.010637277290097842, MMC 0.9474887847900391)
Epoch 49: TrainACC tensor([92.83], device='cuda:0'), Acc 78.4688949584961, Best Acc 80.29306030273438. (lr 0.010323793483190501, MMC 0.949280321598053)
Epoch 50: TrainACC tensor([92.56], device='cuda:0'), Acc 79.964111328125, Best Acc 80.29306030273438. (lr 0.01001, MMC 0.9508981704711914)
Epoch 51: TrainACC tensor([93.04], device='cuda:0'), Acc 80.74162292480469, Best Acc 80.29306030273438. (lr 0.009696206516809499, MMC 0.9526163935661316)
Epoch 52: TrainACC tensor([93.00], device='cuda:0'), Acc 80.41267395019531, Best Acc 80.74162292480469. (lr 0.00938272270990216, MMC 0.954149603843689)
Epoch 53: TrainACC tensor([92.94], device='cuda:0'), Acc 79.51554870605469, Best Acc 80.74162292480469. (lr 0.009069857949948041, MMC 0.9554064869880676)
Epoch 54: TrainACC tensor([93.08], device='cuda:0'), Acc 81.51913452148438, Best Acc 80.74162292480469. (lr 0.0087579209966926, MMC 0.9569725394248962)
Epoch 55: TrainACC tensor([93.17], device='cuda:0'), Acc 80.83133697509766, Best Acc 81.51913452148438. (lr 0.008447219694248094, MMC 0.9583960771560669)
Epoch 56: TrainACC tensor([93.33], device='cuda:0'), Acc 79.33612060546875, Best Acc 81.51913452148438. (lr 0.00813806066728861, MMC 0.9597499370574951)
Epoch 57: TrainACC tensor([93.40], device='cuda:0'), Acc 81.81817626953125, Best Acc 81.51913452148438. (lr 0.007830749018448543, MMC 0.9610103964805603)
Epoch 58: TrainACC tensor([93.60], device='cuda:0'), Acc 82.11722564697266, Best Acc 81.81817626953125. (lr 0.0075255880272231, MMC 0.9624238014221191)
Epoch 59: TrainACC tensor([93.48], device='cuda:0'), Acc 81.75836944580078, Best Acc 82.11722564697266. (lr 0.007222878850668101, MMC 0.9637603163719177)
Epoch 60: TrainACC tensor([93.70], device='cuda:0'), Acc 82.2069320678711, Best Acc 82.11722564697266. (lr 0.0069229202261942785, MMC 0.9650343656539917)
