args Namespace(arch='resnet50', batch_size=48, closeset_ratio=0.2, conf_ema_range=[0.8, 0.9], cosine=True, dataset='web-bird', epochs=100, epsilon=0.6, exp_dir='experiment/SOTA-0728/resnet18car2023-08-07-09-40-54ds_web-bird_pr_0.1_lr_0.02_ep_100_ps_1_lw_0.1_heir_False_warmupepochs_10_rechange_per_epoch_35', forget_rate=0.25, gpu=0, hierarchical=False, loss_weight1=0.1, loss_weight2=0.3, loss_weight3=1.0, loss_weight4=1.5, low_dim=512, lr=0.02, lr_decay_epochs='100,150,180', lr_decay_rate=0.1, moco_m=0.99, moco_queue=8192, momentum=0.8, n_classes=200, noise_type='symmetric', partial_rate=0.1, print_freq=100, prot_start=1, proto_m=0.998, rechange_per_epoch=35, resume='', seed=123, synthetic_data=None, topk=15, warmupepochs=10, warmuplr=0.01, weight_decay=0.0011, workers=32)

Epoch 0: TrainACC 16.352005004882812, Acc 33.74655532836914, Best Acc 0. (lr 0.01, MMC 1.0)
Epoch 1: TrainACC 34.87956619262695, Acc 46.83195495605469, Best Acc 33.74655532836914. (lr 0.01, MMC 1.0)
Epoch 2: TrainACC 43.831398010253906, Acc 56.81818389892578, Best Acc 46.83195495605469. (lr 0.01, MMC 1.0)
Epoch 3: TrainACC 50.17902374267578, Acc 59.33195495605469, Best Acc 56.81818389892578. (lr 0.01, MMC 1.0)
Epoch 4: TrainACC 55.647789001464844, Acc 66.01239776611328, Best Acc 59.33195495605469. (lr 0.01, MMC 1.0)
Epoch 5: TrainACC 59.90670394897461, Acc 68.64669799804688, Best Acc 66.01239776611328. (lr 0.01, MMC 1.0)
Epoch 6: TrainACC 65.10417938232422, Acc 68.42286682128906, Best Acc 68.64669799804688. (lr 0.01, MMC 1.0)
Epoch 7: TrainACC 68.2834243774414, Acc 68.73278045654297, Best Acc 68.64669799804688. (lr 0.01, MMC 1.0)
Epoch 8: TrainACC 71.52236938476562, Acc 65.32369232177734, Best Acc 68.73278045654297. (lr 0.01, MMC 1.0)
Epoch 9: TrainACC 74.13737487792969, Acc 67.92355346679688, Best Acc 68.73278045654297. (lr 0.01, MMC 0.7664967179298401)
    ----------  warmup end  -----------    
Epoch 10: TrainACC tensor([60.40], device='cuda:0'), Acc 56.02617263793945, Best Acc 68.73278045654297. (lr 0.019511054597788586, MMC 0.7149219512939453)
Epoch 11: TrainACC tensor([65.29], device='cuda:0'), Acc 60.98484802246094, Best Acc 68.73278045654297. (lr 0.019409398881852714, MMC 0.6844910979270935)
Epoch 12: TrainACC tensor([69.50], device='cuda:0'), Acc 65.54752349853516, Best Acc 68.73278045654297. (lr 0.019298467094023632, MMC 0.6698302030563354)
Epoch 13: TrainACC tensor([71.78], device='cuda:0'), Acc 64.7727279663086, Best Acc 68.73278045654297. (lr 0.019178368710582972, MMC 0.6660232543945312)
Epoch 14: TrainACC tensor([72.90], device='cuda:0'), Acc 65.92630767822266, Best Acc 68.73278045654297. (lr 0.019049222254135537, MMC 0.669253945350647)
Epoch 15: TrainACC tensor([73.42], device='cuda:0'), Acc 68.8188705444336, Best Acc 68.73278045654297. (lr 0.018911155176641794, MMC 0.676531970500946)
Epoch 16: TrainACC tensor([73.85], device='cuda:0'), Acc 63.39531707763672, Best Acc 68.8188705444336. (lr 0.018764303733638195, MMC 0.6861441135406494)
Epoch 17: TrainACC tensor([73.54], device='cuda:0'), Acc 62.74104690551758, Best Acc 68.8188705444336. (lr 0.018608812849769396, MMC 0.6964578628540039)
Epoch 18: TrainACC tensor([73.76], device='cuda:0'), Acc 63.326446533203125, Best Acc 68.8188705444336. (lr 0.01844483597576513, MMC 0.7071776986122131)
Epoch 19: TrainACC tensor([73.64], device='cuda:0'), Acc 66.2534408569336, Best Acc 68.8188705444336. (lr 0.01827253493700287, MMC 0.7176178693771362)
Epoch 20: TrainACC tensor([73.49], device='cuda:0'), Acc 65.22039031982422, Best Acc 68.8188705444336. (lr 0.018092079773805725, MMC 0.727694034576416)
Epoch 21: TrainACC tensor([73.59], device='cuda:0'), Acc 58.31611633300781, Best Acc 68.8188705444336. (lr 0.017903648573633146, MMC 0.7373439073562622)
Epoch 22: TrainACC tensor([72.53], device='cuda:0'), Acc 64.78994750976562, Best Acc 68.8188705444336. (lr 0.017707427295330137, MMC 0.7457007765769958)
Epoch 23: TrainACC tensor([72.77], device='cuda:0'), Acc 59.917354583740234, Best Acc 68.8188705444336. (lr 0.01750360958560829, MMC 0.7529069781303406)
Epoch 24: TrainACC tensor([73.31], device='cuda:0'), Acc 57.334712982177734, Best Acc 68.8188705444336. (lr 0.017292396587939903, MMC 0.7593653202056885)
