args Namespace(arch='resnet50', batch_size=48, closeset_ratio=0.2, conf_ema_range=[0.9, 0.6], cosine=True, dataset='web-car', epochs=100, epsilon=0.53, exp_dir='experiment/web_car-sota/Webthree2023-08-08-23-05-58ds_web-car_lr_0.015_ep_100_ps_1_lw_0.3_warmupepochs_10_rechange_per_epoch_40', forget_rate=0.2, gpu=0, loss_weight1=0.3, loss_weight2=1.0, loss_weight3=0.0, loss_weight4=1.0, low_dim=512, lr=0.015, lr_decay_epochs='100,150,180', lr_decay_rate=0.1, moco_m=0.999, moco_queue=4096, momentum=0.9, n_classes=196, noise_type='symmetric', print_freq=100, prot_start=1, proto_m=0.998, rechange_per_epoch=40, resume='', seed=100, synthetic_data=None, topk=100, warmupepochs=10, warmuplr=0.01, weight_decay=0.0011, workers=32)

Epoch 0: TrainACC 16.152122497558594, Acc 34.372928619384766, Best Acc 0. (lr 0.015, MMC 1.0)
Epoch 1: TrainACC 49.835941314697266, Acc 58.85795974731445, Best Acc 34.372928619384766. (lr 0.014996302903540244, MMC 1.0)
Epoch 2: TrainACC 64.4155502319336, Acc 68.25297546386719, Best Acc 58.85795974731445. (lr 0.014985215262748824, MMC 1.0)
Epoch 3: TrainACC 71.5044937133789, Acc 68.76519012451172, Best Acc 68.25297546386719. (lr 0.014966748019788575, MMC 1.0)
Epoch 4: TrainACC 75.8044204711914, Acc 70.8126220703125, Best Acc 68.76519012451172. (lr 0.014940919399598726, MMC 1.0)
Epoch 5: TrainACC 78.93274688720703, Acc 70.53926086425781, Best Acc 70.8126220703125. (lr 0.01490775489190907, MMC 1.0)
Epoch 6: TrainACC 80.65898895263672, Acc 67.99481201171875, Best Acc 70.8126220703125. (lr 0.014867287226084701, MMC 1.0)
Epoch 7: TrainACC 82.03761291503906, Acc 71.72796630859375, Best Acc 70.8126220703125. (lr 0.014819556338826064, MMC 1.0)
Epoch 8: TrainACC 82.63424682617188, Acc 72.57703399658203, Best Acc 71.72796630859375. (lr 0.014764609334756268, MMC 1.0)
Epoch 9: TrainACC 83.2568588256836, Acc 71.3248291015625, Best Acc 72.57703399658203. (lr 0.014702500439934495, MMC 0.7937653064727783)
    ----------  warmup end  -----------    
Epoch 10: TrainACC tensor([49.35], device='cuda:0'), Acc 47.08140182495117, Best Acc 72.57703399658203. (lr 0.014633290948341439, MMC 0.764493465423584)
Epoch 11: TrainACC tensor([56.78], device='cuda:0'), Acc 53.10221481323242, Best Acc 72.57703399658203. (lr 0.014557049161389534, MMC 0.746576189994812)
Epoch 12: TrainACC tensor([60.52], device='cuda:0'), Acc 57.77832794189453, Best Acc 72.57703399658203. (lr 0.014473850320517723, MMC 0.7356878519058228)
Epoch 13: TrainACC tensor([65.11], device='cuda:0'), Acc 66.25247955322266, Best Acc 72.57703399658203. (lr 0.014383776532937226, MMC 0.7302427291870117)
Epoch 14: TrainACC tensor([68.58], device='cuda:0'), Acc 66.05367279052734, Best Acc 72.57703399658203. (lr 0.01428691669060165, MMC 0.7289086580276489)
Epoch 15: TrainACC tensor([70.44], device='cuda:0'), Acc 70.57929992675781, Best Acc 72.57703399658203. (lr 0.014183366382481345, MMC 0.7302719950675964)
Epoch 16: TrainACC tensor([71.96], device='cuda:0'), Acc 69.60735321044922, Best Acc 72.57703399658203. (lr 0.014073227800228646, MMC 0.7335248589515686)
Epoch 17: TrainACC tensor([73.18], device='cuda:0'), Acc 71.11359405517578, Best Acc 72.57703399658203. (lr 0.013956609637327047, MMC 0.7381649017333984)
Epoch 18: TrainACC tensor([74.35], device='cuda:0'), Acc 68.84526062011719, Best Acc 72.57703399658203. (lr 0.013833626981823848, MMC 0.7438197135925293)
Epoch 19: TrainACC tensor([74.97], device='cuda:0'), Acc 71.7072525024414, Best Acc 72.57703399658203. (lr 0.013704401202752153, MMC 0.7497934103012085)
Epoch 20: TrainACC tensor([76.10], device='cuda:0'), Acc 71.57057189941406, Best Acc 72.57703399658203. (lr 0.013569059830354294, MMC 0.7556532025337219)
Epoch 21: TrainACC tensor([76.60], device='cuda:0'), Acc 69.80615997314453, Best Acc 72.57703399658203. (lr 0.013427736430224858, MMC 0.7611534595489502)
Epoch 22: TrainACC tensor([76.71], device='cuda:0'), Acc 70.61381530761719, Best Acc 72.57703399658203. (lr 0.0132805704714976, MMC 0.7662525177001953)
Epoch 23: TrainACC tensor([77.34], device='cuda:0'), Acc 70.55168914794922, Best Acc 72.57703399658203. (lr 0.013127707189206217, MMC 0.770881175994873)
Epoch 24: TrainACC tensor([77.94], device='cuda:0'), Acc 72.78826904296875, Best Acc 72.57703399658203. (lr 0.012969297440954925, MMC 0.7751256227493286)
